"","site_name","-1","0","1","2","3","4","5"
"1","Agroscope Changins",0,4,4,4,4,0,0
"2","Ainsdale Dune Slacks",3,3,3,3,0,0,0
"3","Algaida",0,3,3,3,3,3,0
"4","Archbold Biological Station",3,3,3,0,3,0,0
"5","Bad Lauchstaedt",3,3,3,3,3,0,0
"6","Bayreuth DRAGNet",0,5,5,5,5,5,0
"7","Bladen Lakes State Forest",0,5,5,5,5,5,0
"8","Blandy Experimental Farm",5,5,5,0,0,0,0
"9","CEREEP - Ecotron IDF",0,0,3,3,3,0,0
"10","Caracoles",0,3,3,3,2,0,0
"11","Cary IES",0,5,5,5,0,0,0
"12","Cass",0,5,5,5,0,0,0
"13","Castellanos",0,3,3,3,0,0,0
"14","Cedar Creek LTER",0,3,3,3,0,0,0
"15","Churning Rapids",0,4,4,4,0,0,0
"16","Colombia Missouri",10,0,0,0,0,0,0
"17","Cowichan",0,3,3,3,3,0,0
"18","Dauphin Island",0,5,5,5,0,0,0
"19","Domaninek",0,3,3,3,0,0,0
"20","Fowlers Gap",0,5,5,0,0,0,0
"21","GCE LTER - Sapelo Island",0,6,6,0,0,0,0
"22","Hazelrigg",3,3,3,3,0,0,0
"23","Hobcaw Barony",0,3,5,5,0,0,0
"24","Hulun Buir",0,6,0,0,0,0,0
"25","Izaak Walton League of America (IWLA)",0,3,3,0,0,0,0
"26","Jasper Ridge Biological Preserve",0,3,0,0,0,0,0
"27","Jena",3,3,3,3,0,0,0
"28","Kellogg Biological Station (KBS)",3,3,3,3,3,0,0
"29","Kniezenberg",3,3,3,3,0,0,0
"30","Konza LTER DRAGNet",5,5,0,0,0,0,0
"31","LSU Botanical Garden",0,3,3,0,0,0,0
"32","Ladybird Johnson Wildflower Center",0,6,6,0,0,0,0
"33","Lublin",0,3,3,0,0,0,0
"34","Mendoza",0,3,3,0,0,0,0
"35","Meranges",0,3,3,3,3,0,0
"36","Millville",3,3,3,3,0,0,0
"37","Nillahcootie",0,3,3,3,3,0,0
"38","Oak Lake Field Station",0,5,5,0,0,0,0
"39","Park Shaked",0,1,1,1,1,0,0
"40","Piedmont Prairie",0,5,5,5,0,0,0
"41","Potrok Aike",0,3,3,3,3,3,3
"42","Saihanba",0,5,5,0,0,0,0
"43","San Claudio",6,6,6,6,0,0,0
"44","Sandflats",0,3,3,3,3,0,0
"45","Shortgrass Steppe LTER",0,3,3,3,0,0,0
"46","Sierra Foothills REC",0,5,5,5,5,0,0
"47","Songyuan",0,3,0,0,0,0,0
"48","Stoderzinken",0,4,0,0,0,0,0
"49","Temple",0,5,5,5,5,0,0
"50","Ukulinga",3,3,3,3,3,0,0
"51","University of Michigan Biological Station",0,5,5,5,5,0,0
"52","University of Wyoming - SAREC",5,5,0,0,0,0,0
"53","WSL",0,3,3,3,3,0,0
"54","Wallula Gap Biological Station-North Face",0,5,5,5,5,5,0
"55","Wallula Gap Biological Station-South Face",0,5,5,5,5,5,0
"56","Wytham Woods",0,5,5,5,5,0,0
